static final int KEY_FIRST, 400
static final int KEY_LAST, 402
static final int KEY_LOCATION_LEFT, 2
static final int KEY_LOCATION_NUMPAD, 4
static final int KEY_LOCATION_RIGHT, 3
static final int KEY_LOCATION_STANDARD, 1
static final int KEY_LOCATION_UNKNOWN, 0
static final int KEY_PRESSED, 401
static final int KEY_RELEASED, 402
static final int KEY_TYPED, 400
static final int VK_0, 48
static final int VK_1, 49
static final int VK_2, 50
static final int VK_3, 51
static final int VK_4, 52
static final int VK_5, 53
static final int VK_6, 54
static final int VK_7, 55
static final int VK_8, 56
static final int VK_9, 57
static final int VK_A, 65
static final int VK_ACCEPT, 30
static final int VK_ADD, 107
static final int VK_AGAIN, 65481
static final int VK_ALL_CANDIDATES, 256
static final int VK_ALPHANUMERIC, 240
static final int VK_ALT, 18
static final int VK_ALT_GRAPH, 65406
static final int VK_AMPERSAND, 150
static final int VK_ASTERISK, 151
static final int VK_AT, 512
static final int VK_B, 66
static final int VK_BACK_QUOTE, 192
static final int VK_BACK_SLASH, 92
static final int VK_BACK_SPACE, 8
static final int VK_BEGIN, 65368
static final int VK_BRACELEFT, 161
static final int VK_BRACERIGHT, 162
static final int VK_C, 67
static final int VK_CANCEL, 3
static final int VK_CAPS_LOCK, 20
static final int VK_CIRCUMFLEX, 514
static final int VK_CLEAR, 12
static final int VK_CLOSE_BRACKET, 93
static final int VK_CODE_INPUT, 258
static final int VK_COLON, 513
static final int VK_COMMA, 44
static final int VK_COMPOSE, 65312
static final int VK_CONTEXT_MENU, 525
static final int VK_CONTROL, 17
static final int VK_CONVERT, 28
static final int VK_COPY, 65485
static final int VK_CUT, 65489
static final int VK_D, 68
static final int VK_DEAD_ABOVEDOT, 134
static final int VK_DEAD_ABOVERING, 136
static final int VK_DEAD_ACUTE, 129
static final int VK_DEAD_BREVE, 133
static final int VK_DEAD_CARON, 138
static final int VK_DEAD_CEDILLA, 139
static final int VK_DEAD_CIRCUMFLEX, 130
static final int VK_DEAD_DIAERESIS, 135
static final int VK_DEAD_DOUBLEACUTE, 137
static final int VK_DEAD_GRAVE, 128
static final int VK_DEAD_IOTA, 141
static final int VK_DEAD_MACRON, 132
static final int VK_DEAD_OGONEK, 140
static final int VK_DEAD_SEMIVOICED_SOUND, 143
static final int VK_DEAD_TILDE, 131
static final int VK_DEAD_VOICED_SOUND, 142
static final int VK_DECIMAL, 110
static final int VK_DELETE, 127
static final int VK_DIVIDE, 111
static final int VK_DOLLAR, 515
static final int VK_DOWN, 40
static final int VK_E, 69
static final int VK_END, 35
static final int VK_ENTER, 10
static final int VK_EQUALS, 61
static final int VK_ESCAPE, 27
static final int VK_EURO_SIGN, 516
static final int VK_EXCLAMATION_MARK, 517
static final int VK_F, 70
static final int VK_F1, 112
static final int VK_F10, 121
static final int VK_F11, 122
static final int VK_F12, 123
static final int VK_F13, 61440
static final int VK_F14, 61441
static final int VK_F15, 61442
static final int VK_F16, 61443
static final int VK_F17, 61444
static final int VK_F18, 61445
static final int VK_F19, 61446
static final int VK_F2, 113
static final int VK_F20, 61447
static final int VK_F21, 61448
static final int VK_F22, 61449
static final int VK_F23, 61450
static final int VK_F24, 61451
static final int VK_F3, 114
static final int VK_F4, 115
static final int VK_F5, 116
static final int VK_F6, 117
static final int VK_F7, 118
static final int VK_F8, 119
static final int VK_F9, 120
static final int VK_FINAL, 24
static final int VK_FIND, 65488
static final int VK_FULL_WIDTH, 243
static final int VK_G, 71
static final int VK_GREATER, 160
static final int VK_H, 72
static final int VK_HALF_WIDTH, 244
static final int VK_HELP, 156
static final int VK_HIRAGANA, 242
static final int VK_HOME, 36
static final int VK_I, 73
static final int VK_INPUT_METHOD_ON_OFF, 263
static final int VK_INSERT, 155
static final int VK_INVERTED_EXCLAMATION_MARK, 518
static final int VK_J, 74
static final int VK_JAPANESE_HIRAGANA, 260
static final int VK_JAPANESE_KATAKANA, 259
static final int VK_JAPANESE_ROMAN, 261
static final int VK_K, 75
static final int VK_KANA, 21
static final int VK_KANA_LOCK, 262
static final int VK_KANJI, 25
static final int VK_KATAKANA, 241
static final int VK_KP_DOWN, 225
static final int VK_KP_LEFT, 226
static final int VK_KP_RIGHT, 227
static final int VK_KP_UP, 224
static final int VK_L, 76
static final int VK_LEFT, 37
static final int VK_LEFT_PARENTHESIS, 519
static final int VK_LESS, 153
static final int VK_M, 77
static final int VK_META, 157
static final int VK_MINUS, 45
static final int VK_MODECHANGE, 31
static final int VK_MULTIPLY, 106
static final int VK_N, 78
static final int VK_NONCONVERT, 29
static final int VK_NUMBER_SIGN, 520
static final int VK_NUMPAD0, 96
static final int VK_NUMPAD1, 97
static final int VK_NUMPAD2, 98
static final int VK_NUMPAD3, 99
static final int VK_NUMPAD4, 100
static final int VK_NUMPAD5, 101
static final int VK_NUMPAD6, 102
static final int VK_NUMPAD7, 103
static final int VK_NUMPAD8, 104
static final int VK_NUMPAD9, 105
static final int VK_NUM_LOCK, 144
static final int VK_O, 79
static final int VK_OPEN_BRACKET, 91
static final int VK_P, 80
static final int VK_PAGE_DOWN, 34
static final int VK_PAGE_UP, 33
static final int VK_PASTE, 65487
static final int VK_PAUSE, 19
static final int VK_PERIOD, 46
static final int VK_PLUS, 521
static final int VK_PREVIOUS_CANDIDATE, 257
static final int VK_PRINTSCREEN, 154
static final int VK_PROPS, 65482
static final int VK_Q, 81
static final int VK_QUOTE, 222
static final int VK_QUOTEDBL, 152
static final int VK_R, 82
static final int VK_RIGHT, 39
static final int VK_RIGHT_PARENTHESIS, 522
static final int VK_ROMAN_CHARACTERS, 245
static final int VK_S, 83
static final int VK_SCROLL_LOCK, 145
static final int VK_SEMICOLON, 59
static final int VK_SEPARATER, 108
static final int VK_SEPARATOR, 108
static final int VK_SHIFT, 16
static final int VK_SLASH, 47
static final int VK_SPACE, 32
static final int VK_STOP, 65480
static final int VK_SUBTRACT, 109
static final int VK_T, 84
static final int VK_TAB, 9
static final int VK_U, 85
static final int VK_UNDEFINED, 0
static final int VK_UNDERSCORE, 523
static final int VK_UNDO, 65483
static final int VK_UP, 38
static final int VK_V, 86
static final int VK_W, 87
static final int VK_WINDOWS, 524
static final int VK_X, 88
static final int VK_Y, 89
static final int VK_Z, 90
